#Table: J/ApJS/95/535/./table10.dat (cdsarc.u-strasbg.fr)
------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|
         |         |         |          |         |         |  |  |y|
         |         |         |          |         |         |  |  |p|
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e| Jl
---------|---------|---------|----------|---------|---------|--|--|-|---
2227.7206|1.264E-02|2.200E+01|64722.5752|1.787E-03|2.000E-32|22|20|P|135
2273.1979|1.116E-02|2.064E+01|63393.7106|1.610E-03|3.447E-32|21|19|P|135
2318.7916|9.826E-03|1.928E+01|62039.5983|1.446E-03|5.990E-32|20|18|P|135
2364.5113|8.611E-03|1.792E+01|60660.1760|1.292E-03|1.048E-31|19|17|P|135
2410.3650|7.521E-03|1.658E+01|59255.3776|1.151E-03|1.850E-31|18|16|P|135
2456.3598|6.536E-03|1.525E+01|57825.1335|1.019E-03|3.285E-31|17|15|P|135
2502.5014|5.649E-03|1.393E+01|56369.3713|8.972E-04|5.871E-31|16|14|P|135
2548.7947|4.847E-03|1.263E+01|54888.0162|7.840E-04|1.054E-30|15|13|P|135
2593.4798|1.141E-02|3.136E+01|53175.4284|1.391E-03|4.289E-30|22|20|P|100
2595.2434|4.124E-03|1.135E+01|53380.9918|6.793E-04|1.899E-30|14|12|P|135
2639.9654|1.016E-02|2.947E+01|51699.6990|1.262E-03|7.964E-30|21|19|P|100
2641.8504|3.460E-03|1.004E+01|51848.2200|5.801E-04|3.412E-30|13|11|P|135
2686.5951|9.024E-03|2.758E+01|50198.8523|1.140E-03|1.491E-29|20|18|P|100
2688.6179|2.884E-03|8.820E+00|50289.6222|4.920E-04|6.164E-30|12|10|P|135
2733.3744|7.967E-03|2.564E+01|48672.8133|1.024E-03|2.808E-29|19|17|P|100
2735.5471|2.369E-03|7.632E+00|48705.1189|4.113E-04|1.111E-29|11| 9|P|135
2780.3078|7.010E-03|2.374E+01|47121.5049|9.162E-04|5.331E-29|18|16|P|100
2782.6386|1.912E-03|6.483E+00|47094.6307|3.376E-04|1.991E-29|10| 8|P|135
2827.3989|6.132E-03|2.184E+01|45544.8484|8.151E-04|1.018E-28|17|15|P|100
2829.8924|1.510E-03|5.384E+00|45458.0782|2.711E-04|3.532E-29| 9| 7|P|135
2874.6505|5.332E-03|1.996E+01|43942.7635|7.206E-04|1.956E-28|16|14|P|100
2877.3076|1.159E-03|4.346E+00|43795.3826|2.117E-04|6.170E-29| 8| 6|P|135
2922.0644|4.598E-03|1.808E+01|42315.1695|6.316E-04|3.771E-28|15|13|P|100
2924.8829|8.586E-04|3.381E+00|42106.4659|1.594E-04|1.052E-28| 7| 5|P|135
2938.4110|2.620E-02|1.039E+02|64722.5752|4.923E-03|6.341E-32|22|20|R|135
2969.6418|3.929E-03|1.621E+01|40661.9850|5.485E-04|7.289E-28|14|12|P|100
2972.6166|6.056E-04|2.504E+00|40391.2511|1.142E-04|1.730E-28| 6| 4|P|135
2993.6300|2.377E-02|9.964E+01|63393.7106|4.550E-03|1.118E-31|21|19|R|135
3017.3832|3.348E-03|1.449E+01|38983.1285|4.749E-04|1.422E-27|13|11|P|100
3020.5061|3.978E-04|1.726E+00|38649.6626|7.627E-05|2.681E-28| 5| 3|P|135
3048.9514|2.148E-02|9.510E+01|62039.5983|4.186E-03|1.985E-31|20|18|R|135
3065.2885|2.790E-03|1.267E+01|37278.5186|4.021E-04|2.746E-27|12|10|P|100
3068.5487|2.354E-04|1.070E+00|36881.6266|4.584E-05|3.789E-28| 4| 2|P|135
3104.3859|1.932E-02|9.028E+01|60660.1760|3.834E-03|3.551E-31|19|17|R|135
3113.3569|2.291E-03|1.090E+01|35548.0746|3.353E-04|5.287E-27|11| 9|P|100
3116.7408|1.163E-04|5.540E-01|35087.0708|2.300E-05|4.526E-28| 3| 1|P|135
3154.9526|1.238E-02|6.252E+01|38576.6231|3.672E-04|1.362E-27|22|20|P| 20
3159.9428|1.727E-02|8.514E+01|59255.3776|3.489E-03|6.388E-31|18|16|R|135
3161.5873|1.847E-03|9.196E+00|33791.7162|2.745E-04|1.011E-26|10| 8|P|100
3161.6345|2.116E-02|1.043E+02|53175.4284|3.176E-03|1.074E-29|22|20|R|100
3165.0787|3.815E-05|1.904E-01|33265.9252|7.664E-06|3.636E-28| 2| 0|P|135
3204.1554|1.113E-02|5.891E+01|36931.0393|3.354E-04|2.758E-27|21|19|P| 20
3209.9780|1.455E-03|7.585E+00|32009.3643|2.196E-04|1.915E-26| 9| 7|P|100
3215.2273|1.918E-02|9.946E+01|51699.6990|2.928E-03|2.023E-29|21|19|R|100
3215.6301|1.535E-02|7.975E+01|57825.1335|3.156E-03|1.156E-30|17|15|R|135
3234.0138|1.325E-02|4.687E+01|37917.0909|2.015E-05|1.037E-28|22|20|R|  0
3253.5242|9.972E-03|5.524E+01|35260.3801|3.051E-04|5.626E-27|20|18|P| 20
3258.5267|1.114E-03|6.076E+00|30200.9409|1.707E-04|3.565E-26| 8| 6|P|100
3268.9586|1.731E-02|9.434E+01|50198.8523|2.686E-03|3.840E-29|20|18|R|100
3271.4545|1.355E-02|7.411E+01|56369.3713|2.834E-03|2.101E-30|16|14|R|135
3280.6414|1.431E-02|7.737E+01|38576.6231|4.634E-04|1.748E-27|22|20|R| 20
3283.9502|1.194E-02|4.420E+01|36264.1752|1.843E-05|2.109E-28|21|19|R|  0
3303.0609|8.894E-03|5.155E+01|33564.5613|2.762E-04|1.156E-26|19|17|P| 20
3307.2310|8.224E-04|4.688E+00|28366.3694|1.279E-04|6.478E-26| 7| 5|P|100
3322.8349|1.556E-02|8.905E+01|48672.8133|2.454E-03|7.342E-29|19|17|R|100
3327.4213|1.187E-02|6.831E+01|54888.0162|2.525E-03|3.835E-30|15|13|R|135
3331.2759|1.291E-02|7.307E+01|36931.0393|4.244E-04|3.547E-27|21|19|R| 20
3334.0533|1.071E-02|4.149E+01|34586.1834|1.678E-05|4.320E-28|20|18|R|  0
3352.7664|7.879E-03|4.776E+01|31843.4982|2.484E-04|2.388E-26|18|16|P| 20
3356.0880|5.776E-04|3.441E+00|26505.5749|9.113E-05|1.134E-25| 6| 4|P|100
3376.8611|1.389E-02|8.348E+01|47121.5049|2.228E-03|1.412E-28|18|16|R|100
3382.0764|1.159E-02|6.867E+01|35260.3801|3.870E-04|7.249E-27|20|18|R| 20
3383.5352|1.030E-02|6.234E+01|53380.9918|2.228E-03|7.021E-30|14|12|R|135
3384.3248|9.554E-03|3.872E+01|32883.0311|1.520E-05|8.908E-28|19|17|R|  0
3402.6412|6.936E-03|4.395E+01|30097.1061|2.219E-04|4.958E-26|17|15|P| 20
3405.0944|3.787E-04|2.357E+00|24618.4838|6.063E-05|1.875E-25| 5| 3|P|100
3431.0414|1.233E-02|7.772E+01|45544.8484|2.009E-03|2.729E-28|17|15|R|100
3433.0448|1.035E-02|6.411E+01|33564.5613|3.506E-04|1.490E-26|19|17|R| 20
3434.7657|8.476E-03|3.591E+01|31154.6333|1.369E-05|1.848E-27|18|16|R|  0
3439.7994|8.857E-03|5.632E+01|51848.2200|1.948E-03|1.289E-29|13|11|R|135
3452.6852|6.056E-03|4.009E+01|28325.3003|1.966E-04|1.033E-25|16|14|P| 20
3454.2466|2.230E-04|1.449E+00|22705.0248|3.622E-05|2.820E-25| 4| 2|P|100
3484.1821|9.192E-03|5.954E+01|31843.4982|3.162E-04|3.086E-26|18|16|R| 20
3485.3764|7.472E-03|3.307E+01|29400.9052|1.224E-05|3.856E-27|17|15|R|  0
3485.3790|1.086E-02|7.177E+01|43942.7635|1.798E-03|5.297E-28|16|14|R|100
3496.2165|7.510E-03|5.014E+01|50289.6222|1.679E-03|2.360E-29|12|10|R|135
3502.8978|5.247E-03|3.627E+01|26527.9968|1.728E-04|2.163E-25|15|13|P| 20
3503.5410|1.090E-04|7.389E-01|20765.1284|1.796E-05|3.565E-25| 3| 1|P|100
3535.4889|8.114E-03|5.492E+01|30097.1061|2.832E-04|6.423E-26|17|15|R| 20
3536.1566|6.537E-03|3.022E+01|27621.7621|1.087E-05|8.078E-27|16|14|R|  0
3539.8760|9.498E-03|6.574E+01|42315.1695|1.596E-03|1.033E-27|15|13|R|100
3552.7882|6.273E-03|4.395E+01|48705.1189|1.425E-03|4.309E-29|11| 9|R|135
3552.9733|3.553E-05|2.511E-01|18798.7272|5.935E-06|3.042E-25| 2| 0|P|100
3553.2779|4.502E-03|3.248E+01|24705.1121|1.504E-04|4.537E-25|14|12|P| 20
3586.9651|7.112E-03|5.027E+01|28325.3003|2.519E-04|1.343E-25|16|14|R| 20
3587.1057|5.671E-03|2.736E+01|25817.1199|9.563E-06|1.698E-26|15|13|R|  0
3594.5340|8.227E-03|5.962E+01|40661.9850|1.404E-03|2.019E-27|14|12|R|100
3603.8239|3.820E-03|2.876E+01|22856.5636|1.295E-04|9.527E-25|13|11|P| 20
3609.5151|5.146E-03|3.781E+01|47094.6307|1.188E-03|7.821E-29|10| 8|R|135
