#Table: J/ApJS/95/535/./table15.dat (cdsarc.u-strasbg.fr)
----------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|    | I
         |         |         |          |         |         |  |  |y|    |so
         |         |         |          |         |         |  |  |p|    |to
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e|  Jl|pe
---------|---------|---------|----------|---------|---------|--|--|-|----|--
3248.3425|7.262E-04|3.916E+00|69999.5215|1.652E-04|1.770E-34|23|20|P| 149|26
3259.3392|6.902E-04|3.760E+00|68948.3033|1.576E-04|2.707E-34|23|20|P| 149|27
3265.9575|7.233E-04|3.965E+00|69612.2062|1.644E-04|2.124E-34|23|20|P| 148|26
3266.4789|6.662E-04|3.653E+00|68159.3991|1.524E-04|3.733E-34|23|20|P| 149|36
3267.7667|6.611E-04|3.629E+00|68005.3522|1.513E-04|3.971E-34|23|20|P| 149|28
3274.7213|6.312E-04|3.487E+00|67081.4706|1.448E-04|5.750E-34|23|20|P| 149|37
3276.3294|6.876E-04|3.805E+00|68567.4004|1.567E-04|3.240E-34|23|20|P| 148|27
3278.1390|6.146E-04|3.406E+00|66550.9300|1.411E-04|7.109E-34|23|20|P| 149|46
3280.6441|6.012E-04|3.340E+00|66114.3966|1.382E-04|8.461E-34|23|20|P| 149|38
3283.0112|6.634E-04|3.694E+00|67783.3560|1.515E-04|4.453E-34|23|20|P| 148|36
3283.4737|7.205E-04|4.013E+00|69226.4014|1.635E-04|2.548E-34|23|20|P| 147|26
3284.2108|6.583E-04|3.669E+00|67630.2615|1.504E-04|4.735E-34|23|20|P| 148|28
3290.6434|6.287E-04|3.525E+00|66712.1271|1.439E-04|6.838E-34|23|20|P| 148|37
3293.2248|6.850E-04|3.850E+00|68188.0212|1.559E-04|3.873E-34|23|20|P| 147|27
3293.7669|6.123E-04|3.442E+00|66184.9088|1.403E-04|8.440E-34|23|20|P| 148|46
3296.0330|5.990E-04|3.375E+00|65751.1194|1.374E-04|1.003E-33|23|20|P| 148|38
3299.4520|6.607E-04|3.734E+00|67408.8446|1.507E-04|5.309E-34|23|20|P| 147|36
3300.5640|6.557E-04|3.709E+00|67256.7040|1.496E-04|5.643E-34|23|20|P| 147|28
3300.8911|7.177E-04|4.062E+00|68842.1295|1.626E-04|3.054E-34|23|20|P| 146|26
3306.4779|6.263E-04|3.562E+00|66344.3238|1.431E-04|8.126E-34|23|20|P| 147|37
3309.3092|6.100E-04|3.478E+00|65820.4310|1.395E-04|1.001E-33|23|20|P| 147|46
3310.0259|6.825E-04|3.895E+00|67810.1872|1.551E-04|4.628E-34|23|20|P| 146|27
3311.3379|5.968E-04|3.409E+00|65389.3879|1.366E-04|1.189E-33|23|20|P| 147|38
3315.8014|6.581E-04|3.775E+00|67035.8856|1.498E-04|6.325E-34|23|20|P| 146|36
3316.8263|6.531E-04|3.750E+00|66884.7001|1.487E-04|6.719E-34|23|20|P| 146|28
3318.2101|7.150E-04|4.111E+00|68459.4130|1.617E-04|3.657E-34|23|20|P| 145|26
3318.6950|6.204E-04|3.568E+00|68742.5046|1.442E-04|2.848E-34|22|19|P| 149|26
3322.2250|6.239E-04|3.600E+00|65978.0802|1.423E-04|9.648E-34|23|20|P| 146|37
3324.7660|6.078E-04|3.515E+00|65457.5155|1.387E-04|1.187E-33|23|20|P| 146|46
3326.5588|5.947E-04|3.444E+00|65029.2202|1.358E-04|1.407E-33|23|20|P| 146|38
3326.7326|6.801E-04|3.940E+00|67433.9195|1.542E-04|5.524E-34|23|20|P| 145|27
3327.9680|5.927E-04|3.437E+00|67690.8352|1.382E-04|4.376E-34|22|19|P| 149|27
3332.0595|6.555E-04|3.816E+00|66664.4991|1.489E-04|7.529E-34|23|20|P| 145|36
3332.9979|6.506E-04|3.790E+00|66514.2698|1.478E-04|7.994E-34|23|20|P| 145|28
3333.8320|5.700E-04|3.323E+00|66901.9690|1.331E-04|6.007E-34|22|19|P| 149|36
3334.8727|5.657E-04|3.301E+00|66747.9649|1.321E-04|6.390E-34|22|19|P| 149|28
3335.4308|7.124E-04|4.160E+00|68078.2740|1.609E-04|4.376E-34|23|20|P| 144|26
3336.3220|6.180E-04|3.611E+00|68349.7991|1.435E-04|3.427E-34|22|19|P| 148|26
3337.8849|6.217E-04|3.638E+00|65613.4154|1.414E-04|1.145E-33|23|20|P| 145|37
3340.1374|6.056E-04|3.551E+00|65096.1808|1.379E-04|1.406E-33|23|20|P| 145|46
3340.3557|5.403E-04|3.168E+00|65824.6024|1.264E-04|9.248E-34|22|19|P| 149|37
3341.6960|5.926E-04|3.480E+00|64670.6346|1.350E-04|1.665E-33|23|20|P| 145|38
3342.9373|5.263E-04|3.093E+00|65294.5540|1.232E-04|1.143E-33|22|19|P| 149|46
3343.3452|6.777E-04|3.985E+00|67059.2389|1.534E-04|6.589E-34|23|20|P| 144|27
3344.7595|5.150E-04|3.032E+00|64858.5285|1.207E-04|1.360E-33|22|19|P| 149|38
3344.9711|5.901E-04|3.475E+00|67304.7549|1.373E-04|5.245E-34|22|19|P| 148|27
3348.2265|6.530E-04|3.857E+00|66294.7053|1.480E-04|8.954E-34|23|20|P| 144|36
3349.0790|6.481E-04|3.831E+00|66145.4332|1.469E-04|9.503E-34|23|20|P| 144|28
3350.3780|5.676E-04|3.359E+00|66520.9037|1.323E-04|7.184E-34|22|19|P| 148|36
3351.3306|5.633E-04|3.336E+00|66367.8820|1.314E-04|7.637E-34|22|19|P| 148|28
3352.5534|7.098E-04|4.209E+00|67698.7344|1.600E-04|5.232E-34|23|20|P| 143|26
3353.4576|6.194E-04|3.676E+00|65250.3483|1.406E-04|1.357E-33|23|20|P| 144|37
3353.8505|6.156E-04|3.654E+00|67958.6444|1.427E-04|4.120E-34|22|19|P| 147|26
3355.4237|6.035E-04|3.587E+00|64736.4453|1.371E-04|1.664E-33|23|20|P| 144|46
3356.2922|5.382E-04|3.201E+00|65450.4431|1.257E-04|1.102E-33|22|19|P| 148|37
3356.7494|5.906E-04|3.515E+00|64313.6490|1.342E-04|1.968E-33|23|20|P| 144|38
3358.5798|5.242E-04|3.125E+00|64923.8163|1.225E-04|1.360E-33|22|19|P| 148|46
3359.8638|6.753E-04|4.031E+00|66686.1663|1.525E-04|7.852E-34|23|20|P| 143|27
3360.1633|5.130E-04|3.063E+00|64490.6153|1.199E-04|1.616E-33|22|19|P| 148|38
3361.8800|5.876E-04|3.513E+00|66920.2367|1.365E-04|6.283E-34|22|19|P| 147|27
3364.3026|6.506E-04|3.899E+00|65926.5241|1.471E-04|1.064E-33|23|20|P| 143|36
3365.0698|6.457E-04|3.872E+00|65778.2099|1.461E-04|1.129E-33|23|20|P| 143|28
3366.8328|5.653E-04|3.395E+00|66141.4074|1.315E-04|8.583E-34|22|19|P| 147|36
3367.6979|5.610E-04|3.372E+00|65989.3692|1.306E-04|9.121E-34|22|19|P| 147|28
3368.9434|6.173E-04|3.714E+00|64888.8979|1.398E-04|1.607E-33|23|20|P| 143|37
3369.5780|7.073E-04|4.258E+00|67320.8160|1.591E-04|6.250E-34|23|20|P| 142|26
3370.6248|6.014E-04|3.624E+00|64378.3274|1.363E-04|1.968E-33|23|20|P| 143|46
3371.2809|6.133E-04|3.697E+00|67569.0627|1.419E-04|4.950E-34|22|19|P| 146|26
3371.7194|5.886E-04|3.550E+00|63958.2815|1.334E-04|2.324E-33|23|20|P| 143|38
3372.1414|5.361E-04|3.234E+00|65077.8596|1.249E-04|1.312E-33|22|19|P| 147|37
3374.1371|5.223E-04|3.157E+00|64554.6567|1.218E-04|1.617E-33|22|19|P| 147|46
3375.4833|5.111E-04|3.093E+00|64124.2816|1.192E-04|1.919E-33|22|19|P| 147|38
3376.2887|6.731E-04|4.076E+00|66314.7224|1.517E-04|9.350E-34|23|20|P| 142|27
3378.6949|5.851E-04|3.551E+00|66537.3020|1.357E-04|7.519E-34|22|19|P| 146|27
3380.2879|6.482E-04|3.940E+00|65559.9752|1.463E-04|1.264E-33|23|20|P| 142|36
3380.9703|6.434E-04|3.913E+00|65412.6196|1.452E-04|1.340E-33|23|20|P| 142|28
3383.1966|5.631E-04|3.431E+00|65763.5004|1.307E-04|1.025E-33|22|19|P| 146|36
