#Table: J/ApJS/95/535/./table8.dat (cdsarc.u-strasbg.fr)
----------------------------------------------------------------
 I| |           |           |           |           |
so| |           |           |           |           |
to| |           |           |           |           |
pe|v|         b0|         b1|         b2|         b3|         b4
--|-|-----------|-----------|-----------|-----------|-----------
26|0| 9.9985E-01| 3.0160E-07|-1.0290E-04|-2.8660E-11|-3.4601E-10
26|1| 9.9977E-01| 4.6416E-07|-1.3444E-04|-4.3977E-11|-4.5695E-10
26|2| 9.9962E-01| 7.4813E-07|-1.9250E-04|-7.0611E-11|-6.6399E-10
26|3| 9.9928E-01| 1.4233E-06|-3.3484E-04|-1.3512E-10|-1.1744E-09
26|4| 9.9708E-01| 5.7174E-06|-1.2291E-03|-5.4066E-10|-4.3959E-09
26|5| 1.0019E+00|-3.7325E-06| 7.5483E-04| 3.5320E-10| 2.7554E-09
36|0| 9.9987E-01| 2.5741E-07|-9.8086E-05|-2.4411E-11|-3.1307E-10
36|1| 9.9980E-01| 3.9347E-07|-1.2718E-04|-3.7146E-11|-4.0979E-10
36|2| 9.9969E-01| 6.1584E-07|-1.7963E-04|-5.8459E-11|-5.8671E-10
36|3| 9.9941E-01| 1.1558E-06|-3.0241E-04|-1.0949E-10|-1.0042E-09
36|4| 9.9806E-01| 3.7555E-06|-9.2451E-04|-3.5750E-10|-3.1266E-09
36|5| 1.0020E+00|-3.8879E-06| 9.0214E-04| 3.6948E-10| 3.1101E-09
27|0| 9.9986E-01| 2.7374E-07|-1.0012E-04|-2.6081E-11|-3.2678E-10
27|1| 9.9979E-01| 4.2142E-07|-1.3023E-04|-3.9897E-11|-4.2931E-10
27|2| 9.9966E-01| 6.7247E-07|-1.8499E-04|-6.3716E-11|-6.1864E-10
27|3| 9.9936E-01| 1.2453E-06|-3.1564E-04|-1.1867E-10|-1.0740E-09
27|4| 9.9773E-01| 4.4298E-06|-1.0357E-03|-4.1983E-10|-3.5904E-09
27|5| 1.0020E+00|-3.9610E-06| 8.3184E-04| 3.7230E-10| 2.9397E-09
28|0| 9.9987E-01| 2.5687E-07|-9.7692E-05|-2.4272E-11|-3.1044E-10
28|1| 9.9981E-01| 3.8095E-07|-1.2659E-04|-3.6228E-11|-4.0606E-10
28|2| 9.9969E-01| 6.0926E-07|-1.7860E-04|-5.7794E-11|-5.8064E-10
28|3| 9.9943E-01| 1.1663E-06|-2.9990E-04|-1.0907E-10|-9.9115E-10
28|4| 9.9813E-01| 3.6897E-06|-9.0506E-04|-3.5024E-10|-3.0460E-09
28|5| 1.0020E+00|-4.0260E-06| 9.1766E-04| 3.7948E-10| 3.1482E-09
38|0| 9.9989E-01| 2.1471E-07|-9.2936E-05|-2.0285E-11|-2.7973E-10
38|1| 9.9984E-01| 3.2283E-07|-1.1952E-04|-3.0452E-11|-3.6261E-10
38|2| 9.9975E-01| 5.0476E-07|-1.6639E-04|-4.7852E-11|-5.1100E-10
38|3| 9.9954E-01| 9.2930E-07|-2.7106E-04|-8.7252E-11|-8.4506E-10
38|4| 9.9868E-01| 2.4668E-06|-7.1239E-04|-2.3671E-10|-2.2594E-09
38|5| 1.0023E+00|-4.5311E-06| 1.1810E-03| 4.2817E-10| 3.8151E-09
46|0| 9.9989E-01| 2.2374E-07|-9.4023E-05|-2.1197E-11|-2.8658E-10
46|1| 9.9983E-01| 3.3107E-07|-1.2113E-04|-3.1410E-11|-3.7225E-10
46|2| 9.9973E-01| 5.2917E-07|-1.6914E-04|-4.9829E-11|-5.2635E-10
46|3| 9.9952E-01| 9.6356E-07|-2.7742E-04|-9.0805E-11|-8.7676E-10
46|4| 9.9858E-01| 2.8130E-06|-7.5059E-04|-2.6438E-10|-2.4134E-09
46|5| 1.0022E+00|-4.4582E-06| 1.1050E-03| 4.1824E-10| 3.6191E-09
37|0| 9.9988E-01| 2.3688E-07|-9.5351E-05|-2.2327E-11|-2.9511E-10
37|1| 9.9982E-01| 3.5194E-07|-1.2310E-04|-3.3336E-11|-3.8427E-10
37|2| 9.9972E-01| 5.5019E-07|-1.7254E-04|-5.2165E-11|-5.4557E-10
37|3| 9.9949E-01| 1.0554E-06|-2.8538E-04|-9.8520E-11|-9.1673E-10
37|4| 9.9843E-01| 3.1079E-06|-8.0156E-04|-2.9403E-10|-2.6206E-09
37|5| 1.0022E+00|-4.1677E-06| 1.0267E-03| 3.9603E-10| 3.4211E-09
----------------------------------------------------------------
