wno(vac) wavel(air) v  v Branch N" noINmeanVALUE
29551.8500  3382.960  9  7 R1   18  1
29551.6740  3382.980  9  7 R2   18  1
29547.8320  3383.420  9  7 R1   16  1
29547.7540  3383.429  9  7 R2   16  1
29545.6520  3383.670  9  7 R1   15  1
29545.5640  3383.680  9  7 R2   15  1
29543.4160  3383.926  9  7 R1   14  1
29543.3340  3383.935  9  7 R2   14  1
29541.0550  3384.196  9  7 R1   13  1
29540.9510  3384.208  9  7 R2   13  1
29538.6090  3384.477  9  7 R1   12  1
29538.5140  3384.488  9  7 R2   12  1
29536.1050  3384.764  9  7 R1   11  1
29536.0140  3384.774  9  7 R2   11  1
29533.5230  3385.060  9  7 R1   10  1
29533.4320  3385.070  9  7 R2   10  1
29530.8090  3385.371  9  7 R1    9  1
29530.7150  3385.381  9  7 R2    9  1
29528.0530  3385.687  9  7 R1    8  1
29527.9750  3385.696  9  7 R2    8  1
29525.1580  3386.019  9  7 R1    7  1
29525.1580  3386.019  9  7 R2    7  1
29522.2360  3386.354  9  7 R1    6  1
29522.2360  3386.354  9  7 R2    6  1
29519.2360  3386.698  9  7 R1    5  1
29519.2360  3386.698  9  7 R2    5  1
29516.1620  3387.051  9  7 R1    4  1
29516.1620  3387.051  9  7 R2    4  1
29512.9980  3387.414  9  7 R1    3  1
29512.9980  3387.414  9  7 R2    3  1
29509.7620  3387.785  9  7 R1    2  1
29509.7620  3387.785  9  7 R2    2  1
29506.4550  3388.165  9  7 R1    1  1
29506.4550  3388.165  9  7 R2    1  1
29496.0620  3389.359  9  7 P1    1  1
29496.0620  3389.359  9  7 P2    1  1
29492.4650  3389.772  9  7 P1    2  1
29492.4650  3389.772  9  7 P2    2  1
29488.7730  3390.196  9  7 P1    3  1
29488.7730  3390.196  9  7 P2    3  1
29485.0120  3390.629  9  7 P1    4  1
29485.0120  3390.629  9  7 P2    4  1
29481.1800  3391.070  9  7 P1    5  1
29481.1800  3391.070  9  7 P2    5  1
29477.2660  3391.520  9  7 P1    6  1
29477.2660  3391.520  9  7 P2    6  1
29473.2810  3391.978  9  7 P1    7  1
29473.2810  3391.978  9  7 P2    7  1
29469.2230  3392.446  9  7 P1    8  1
29469.2230  3392.446  9  7 P2    8  1
29465.0880  3392.922  9  7 P1    9  1
29465.0880  3392.922  9  7 P2    9  1
29460.9200  3393.402  9  7 P1   10  1
29460.8420  3393.411  9  7 P2   10  1
29456.5800  3393.902  9  7 P1   11  1
