#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-09-30T09:16:54 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ5249414e4699 
#INFO -out.max=9999 
#INFO queryParameters=22 
#-oc.form=sexa
#-out.max=9999
#-out.src=J/A+A/523/A58/table4
#-nav=cat:J/A+A/523/A58&tab:{J/A+A/523/A58/table4}&key:source=J/A+A/523/A58&HTTPPRM:&&-ref=VIZ5249414e4699&-out.max=9999&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambdaO&-out=lambdaT&-out=vl&-out=vu&-out=Omegal&-out=Omegau&-out=Jl&-out=Ju&-out=B&-out=A&-out=sA&-out=El&-out=Dlambda&-out=Blend&-out=Cl&-out=Comment&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/523/A58/table4
#-source=J/A+A/523/A58/table4
#-order=I
#-out=lambdaO
#-out=lambdaT
#-out=vl
#-out=vu
#-out=Omegal
#-out=Omegau
#-out=Jl
#-out=Ju
#-out=B
#-out=A
#-out=sA
#-out=El
#-out=Dlambda
#-out=Blend
#-out=Cl
#-out=Comment
#

#RESOURCE=yCat_35230058
#Name: J/A+A/523/A58
#Title: PDF Atlas and spectra of FeH molecule in LHS 2 (Wende+, 2010)
#Table J_A_A_523_A58_table4:
#Name: J/A+A/523/A58/table4
#Title: FeH line data (see the \aFile{J/A+A/523/A58/fehatlas.pdf}{PDF Atlas} and the \vGraph{J/A+A/523/A58/table2}{--bitmap-size=600x400}{spectra})
#---Details of Columns:
    lambdaO (0.1nm) (F10.4) Observed position (vacuum wavelength) [ucd=em.wl;phys.atmol.transition]
    lambdaT (0.1nm) (F10.4) Theoretical position (vacuum wavelength) [ucd=em.wl;phys.atmol.transition]
    vl              (I1)    Lower vibrational state [ucd=phys.atmol.configuration]
    vu              (I1)    Upper vibrational state [ucd=phys.atmol.configuration]
    Omegal          (F4.1)  Lower {Omega} [ucd=phys.atmol.qn]
    Omegau          (F4.1)  Upper {Omega} [ucd=phys.atmol.qn]
    Jl              (F4.1)  Lower rotational state [ucd=phys.mol.qn]
    Ju              (F4.1)  Upper rotational state [ucd=phys.mol.qn]
    B               (I1)    [1/3] Branch: 1=P-branch, 2=Q-branch, 3=R-branch [ucd=meta.code]
    A (s-1)         (F9.2)  Einstein A value [ucd=phys.atmol.transProb]
    sA              (F8.4)  Scaling factor for A [ucd=arith.factor]
    El (eV)         (F6.3)  Lower level energy [ucd=phys.energy;phys.atmol.level]
    Dlambda (0.1nm) (F7.4)  Position correction [ucd=arith.factor;pos]
    Blend           (F6.3)  Blend fraction [ucd=meta.code]
    Cl              (A2)    Classification of the line (1) [ucd=meta.code.class]
    Comment         (A17)   Comment, if the line is blended by and atomic feature, or if the classification of the line did not agree with the scaling factor of the Einstein A values (class {ne} s_A_) [ucd=meta.note]
---------- ---------- - - ---- ---- ---- ---- - --------- -------- ------ ------- ------ -- -----------------
                                                                          D                                  
lambd      lambd      v v Om   Om                                  E      lambda                             
aO (0.1nm) aT (0.1nm) l u egal egau Jl   Ju   B A (s-1)   sA       l (eV) (0.1nm) Blend  Cl Comment          
---------- ---------- - - ---- ---- ---- ---- - --------- -------- ------ ------- ------ -- -----------------
 9900.4846  9900.4902 0 0  3.5  3.5 17.5 18.5 3 470924.44   0.8309  0.225  0.0056  1.000 P  
 9901.1049  9901.1175 0 0  3.5  3.5 14.5 15.5 3 462792.47   1.0695  0.154  0.0126  1.000 P  
 9901.4704  9901.4116 0 1  3.5  3.5 32.5 31.5 1 133973.65   0.3378  0.794 -0.0588  1.000 P  
 9903.9631  9903.9809 0 0  3.5  3.5 18.5 19.5 3 472886.88   1.1484  0.252  0.0178  0.998 P  
 9904.9843  9904.9913 0 0  3.5  3.5 13.5 14.5 3 458947.25   1.4267  0.134  0.0070  1.000 P  
 9905.8556  9905.8940 0 0  3.5  3.5 15.5 16.5 3 466010.13   1.1121  0.177  0.0384  0.969 P  
 9905.8556  9905.8940 3 4  3.5  3.5  5.5  4.5 1  93477.74   1.1121  0.649  0.0384  0.026 P  
 9906.2993  9906.3258 0 0  3.5  3.5 14.5 15.5 3 462784.17   1.2660  0.155  0.0265  1.000 P  
 9906.6069  9906.6202 0 0  3.5  2.5 13.5 12.5 1  16687.29   2.8524  0.134  0.0133  1.000 Q  
 9907.7184  9907.7489 0 0  3.5  3.5 16.5 17.5 3 468735.58   0.8068  0.201  0.0305  1.000 P  
 9908.8070  9908.8092 0 0  2.5  2.5 10.5 11.5 3 459216.45   1.7090  0.116  0.0022  0.479 P  
 9908.8070  9908.8387 0 0  3.5  3.5 13.5 14.5 3 458903.98   1.7090  0.134  0.0317  0.521 P  
 9909.0854  9909.1136 0 0  2.5  2.5  9.5 10.5 3 453849.43   1.5113  0.100  0.0282  0.975 P  
 9909.7148  9909.7519 0 0  2.5  2.5 11.5 12.5 3 463304.45   1.1935  0.134  0.0371  0.996 P  
 9909.9442  9909.9778 0 0  3.5  3.5 18.5 19.5 3 473102.19   0.7455  0.253  0.0336  1.000 P  
 9910.5238  9910.4688 0 0  3.5  3.5 12.5 13.5 3 454224.51   1.3628  0.115 -0.0550  0.466 P  
 9910.5238  9910.5376 2 3  2.5  2.5 20.5 19.5 1 169779.53   1.3628  0.776  0.0138  0.053 P  
 9910.5238  9910.5769 0 0  2.5  2.5  8.5  9.5 3 446648.26   1.3628  0.086  0.0531  0.408 R  class {ne} s_A_
 9925.7356  9925.7553 0 0  1.5  1.5  3.5  4.5 3 403442.05   1.8938  0.066  0.0197  0.471 P  
 9925.7356  9925.7849 0 0  2.5  2.5  4.5  5.5 3 370157.27   1.8938  0.043  0.0493  0.529 P  
 9926.0561  9926.0706 0 0  3.5  3.5 10.5 11.5 3 440799.64   2.7197  0.081  0.0145  0.889 P  
 9926.3601  9926.4056 0 0  2.5  2.5 12.5 13.5 3 466377.47   1.0064  0.155  0.0455  1.000 P  
 9927.3270  9927.2827 2 3  0.5  0.5 17.5 16.5 1 182842.81   1.8210  0.782 -0.0443  0.057 P  
 9927.3270  9927.3516 0 0  3.5  3.5 10.5 11.5 3 440706.54   1.8210  0.081  0.0246  0.525 P  
 9927.3270  9927.3812 0 0  1.5  1.5  6.5  7.5 3 453618.13   1.8210  0.095  0.0542  0.419 P  
 9928.1693  9928.1894 3 4  1.5  1.5 18.5 19.5 3 137754.04   0.1513  0.952  0.0201  0.950 P  
 9928.4107  9928.4358 0 0  2.5  2.5 15.5 16.5 3 472702.46   0.9822  0.220  0.0251  0.666 P  
 9928.4107  9928.4358 0 0  1.5  1.5  2.5  3.5 3 360239.15   0.9822  0.060  0.0251  0.334 P  
