 11501.785 607.01315     0.550    -1.983               7.720                                        
 11502.697      14.0     6.261  -0.96100    -7.320                                   8.030    -4.850
 11505.339 607.01214     0.793    -2.207               7.720                                        
 11506.076 607.01215     0.371    -2.377               7.720                                        
 11506.266 607.01314     0.385    -2.375               7.720                                        
 11507.770 607.01215     0.552    -1.984               7.720                                        
 11508.138 607.01315     0.391    -1.969               7.720                                        
 11508.696 607.01215     0.795    -1.905               7.720                                        
 11511.770      26.0     6.321  -1.18700    -7.130                                   8.100    -3.790
 11512.630 607.01314     0.787    -2.198               7.720                                        
 11513.281 607.01314     0.546    -1.978               7.720                                        
 11514.582 607.01315     0.787    -2.197               7.720                                        
 11515.003 607.01315     0.550    -1.975               7.720                                        
 11518.609      14.0     6.727  -1.21300    -7.000                                   8.560    -3.170
 11519.537 607.01215     0.395    -1.333               7.720                                        
 11520.591 607.01215     0.552    -1.376               7.720                                        
 11522.208      12.0     6.118  -1.81300                                             8.080          
 11522.213      26.0     3.237  -3.46300    -7.780                                   8.010    -6.080
 11526.323 607.01315     0.813    -1.599               7.720                                        
 11529.489 607.01215     0.389    -1.967               7.720                                        
 11530.190 607.01314     0.403    -1.964               7.720                                        
 11531.373 607.01215     0.575    -1.976               7.720                                        
 11531.746 607.01315     0.409    -1.959               7.720                                        
 11536.404 607.01314     0.813    -2.193               7.720                                        
 11536.420 607.01314     0.568    -2.970               7.720                                        
 11537.852 607.01315     0.572    -2.967               7.720                                        
 11538.020 607.01215     0.408    -2.362               7.720                                        
 11538.031 607.01315     0.813    -2.191               7.720                                        
 11544.025 607.01215     0.575    -2.969               7.720                                        
 11544.154 607.01215     0.822    -2.191               7.720                                        
 11545.789 607.01314     0.404    -2.358               7.720                                        
 11547.477 607.01314     0.591    -2.970               7.720                                        
 11547.528 607.01315     0.409    -2.353               7.720                                        
 11547.955 607.01314     0.591    -1.801               7.720                                        
 11548.334 607.01315     0.594    -1.967               7.720                                        
 11549.421 607.01314     0.840    -2.195               7.720                                        
 11553.469 607.01215     0.408    -2.356               7.720                                        
 11555.532 607.01215     0.598    -1.969               7.720                                        
 11555.888 607.01315     0.428    -2.349               7.720                                        
 11557.626 607.01215     0.849    -2.193               7.720                                        
 11559.232 607.01215     0.516    -2.561               7.720                                        
 11560.118 607.01314     0.591    -1.963               7.720                                        
 11560.749 607.01314     0.840    -2.187               7.720                                        
 11561.234 607.01315     0.594    -1.960               7.720                                        
 11561.791 607.01315     0.707    -1.492               7.720                                        
 11562.803 607.01215     0.427    -2.352               7.720                                        
 11565.457 607.01214     0.593    -1.164               7.720                                        
 11566.082 607.01214     0.848    -1.688               7.720                                        
 11568.026 607.01215     0.598    -2.961               7.720                                        
 11568.533 607.01315     0.530    -1.296               7.720                                        
 11570.031 607.01314     0.423    -2.348               7.720                                        
 11571.441 607.01315     0.428    -2.743               7.720                                        
 11571.892 607.01314     0.614    -1.963               7.720                                        
 11572.413 607.01315     0.617    -1.760               7.720                                        
 11572.524      26.0     6.280   0.12200    -6.730                                   8.360    -3.750
 11574.427 607.01314     0.867    -1.889               7.720                                        
 11574.781 607.01214     0.421    -1.492               7.720                                        
 11576.182 607.01215     0.419    -1.451               7.720                                        
 11578.003 607.01214     0.616    -1.364               7.720                                        
 11579.696 607.01314     0.442    -2.344               7.720                                        
 11580.258 607.01215     0.621    -1.961               7.720                                        
 11580.468 607.01214     0.875    -2.190               7.720                                        
 11580.568 607.01315     0.447    -2.340               7.720                                        
 11581.949      26.0     5.946  -1.50500    -7.540                                   8.350    -5.130
 11582.959 607.01215     0.876    -2.188               7.720                                        
 11584.380 607.01314     0.614    -1.955               7.720                                        
 11585.169 607.01315     0.617    -1.953               7.720                                        
 11585.210      26.0     5.653  -1.50100    -7.450                                   8.210    -4.210
 11585.604 607.01214     0.441    -1.648               7.720                                        
 11585.903 607.01215     0.733    -1.436               7.720                                        
 11586.303 607.01314     0.543    -1.253               7.720                                        
 11586.509 607.01214     0.558    -1.365               7.720                                        
 11587.582 607.01314     0.428    -2.386               7.720                                        
 11588.151 607.01215     0.447    -2.342               7.720                                        
 11588.696      28.0     4.236  -1.53400    -7.259                                   8.206    -5.590
 11589.921      26.0     6.280  -0.57800    -7.130                                   8.370    -3.800
 11590.311 607.01214     0.616    -1.257               7.720                                        
 11591.467      14.0     6.269  -0.53900    -7.320                                   8.040    -4.850
 11592.599 607.01215     0.621    -2.954               7.720                                        
